"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Wilfredo Tovar","Mets","17","70","65","15","2","0","0","7","5","4","8","1","1","1",".238",".287",".306",".593",".266","0.5","-0.2","0.1","10416"
"Andrew Romine","Tigers","60","252","230","54","7","1","2","24","18","16","48","2","8","3",".236",".288",".299",".587",".266","0.4","0.0","0.0","1159"
"Pedro Florimon","Pirates","25","105","96","21","4","1","1","10","9","7","27","1","3","1",".221",".276",".314",".590",".265","0.8","0.0","0.1","8385"
"Orlando Caxito","Royals","7","28","26","6","1","0","0","3","2","1","7","0","1","0",".222",".261",".329",".590",".263","0.0","-0.1","0.0","sa548078"
"Ehire Adrianza","Giants","33","140","126","28","6","1","1","13","10","10","28","1","3","2",".220",".279",".303",".583",".262","0.6","-0.1","0.1","8418"
"Clint Barmes","Padres","67","280","256","56","10","0","4","23","21","15","58","4","1","1",".219",".270",".306",".576",".257","2.1","-0.3","0.2","1830"
"Hak-Ju Lee","Rays","5","21","19","4","1","0","0","2","1","2","5","0","1","0",".214",".274",".290",".564",".257","0.0","0.0","0.0","sa502536"
"Miguel Rojas","Marlins","17","70","65","15","2","0","1","6","5","4","10","1","1","1",".225",".273",".293",".566",".255","0.2","-0.1","0.0","7802"
"Tony Wolters","Indians","8","32","29","6","1","0","0","3","2","2","7","0","0","0",".220",".273",".290",".563",".254","0.2","-0.1","0.0","sa548197"
"Jonathan Diaz","Blue Jays","7","28","25","5","1","0","0","2","2","2","6","0","0","0",".205",".281",".268",".548",".253","-0.1","0.0","0.0","4142"
"Erik Gonzalez","Indians","3","14","13","3","1","0","0","1","1","1","3","0","0","0",".226",".255",".315",".570",".253","0.0","0.0","0.0","sa506001"
"Brendan Ryan","Yankees","87","364","328","68","13","1","3","33","29","25","77","4","6","3",".209",".270",".280",".550",".251","5.0","-0.4","0.1","6073"
"Erisbel Arruebarrena","Dodgers","3","14","13","3","0","0","0","1","1","1","5","0","0","0",".201",".239",".299",".538",".239","-0.1","0.0","0.0","15809"
"Rey Navarro","Reds","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000",".000","0.0","0.0","0.0","sa390371"
