"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Josh Rutledge","Angels","130","546","502","118","24","4","9","55","48","28","130","8","10","5",".236",".285",".354",".638",".284","-4.5","-0.1","0.7","11167"
"Emilio Bonifacio","White Sox","113","476","434","108","17","3","4","53","32","33","99","2","28","9",".248",".303",".329",".632",".284","-0.4","1.7","0.5","4054"
"Rafael Furcal"," ","58","245","225","55","9","2","2","27","19","16","35","1","6","2",".244",".299",".331",".630",".283","-1.1","0.3","0.2","88"
"Freddy Galvis","Phillies","108","455","424","98","21","4","10","42","47","21","87","2","4","2",".232",".270",".372",".642",".282","-0.9","-0.3","0.6","6609"
"Hernan Perez","Tigers","42","175","165","42","7","1","2","17","15","7","23","1","6","2",".256",".286",".350",".636",".282","-0.2","0.2","0.3","5751"
"Danny Espinosa","Nationals","45","189","171","37","8","1","4","18","17","11","58","4","4","1",".218",".281",".352",".633",".281","0.6","0.1","0.2","9219"
"Steve Lombardozzi","Pirates","17","70","66","17","3","0","0","6","5","3","9","1","1","1",".262",".294",".337",".631",".280","-0.1","-0.1","0.0","5422"
"Carlos Sanchez","White Sox","58","245","226","56","9","2","2","23","19","13","44","2","6","3",".250",".293",".332",".625",".280","1.1","-0.1","0.3","11602"
"Ramon Santiago","Blue Jays","15","63","56","13","2","0","1","6","5","5","11","1","0","0",".230",".301",".314",".614",".279","-0.3","-0.1","0.0","1417"
"Skip Schumaker","Reds","53","224","203","49","9","1","2","19","18","16","39","2","2","1",".242",".301",".317",".618",".279","-3.0","-0.2","-0.5","3704"
"Luis Sardinas","Brewers","50","210","198","51","9","1","1","19","16","8","31","1","6","3",".259",".290",".332",".622",".277","-0.6","-0.1","0.0","13153"
"Jace Peterson","Braves","67","280","251","57","10","3","2","28","22","23","51","2","12","5",".229",".295",".316",".611",".276","-0.4","0.1","0.1","12325"
"Phil Gosselin","Braves","37","155","145","36","6","1","2","15","12","6","29","1","2","1",".247",".284",".335",".619",".275","-0.1","-0.1","0.1","10953"
"Darwin Barney","Dodgers","20","86","79","18","4","0","1","8","8","5","11","1","1","0",".234",".286",".327",".613",".272","0.5","0.0","0.1","2430"
"Tim Beckham","Rays","8","35","32","7","1","0","0","3","3","2","8","0","1","0",".232",".279",".322",".600",".269","-0.1","0.0","0.0","7949"
"Kristopher Negron","Reds","72","301","277","59","12","2","6","29","26","15","81","4","7","2",".214",".265",".336",".601",".269","-0.2","0.4","0.0","5306"
"Ehire Adrianza","Giants","33","140","126","28","6","1","1","13","10","10","28","1","3","2",".220",".279",".303",".583",".262","0.6","-0.1","0.1","8418"
"Ryan Goins","Blue Jays","28","119","111","26","5","1","1","10","10","5","24","0","1","1",".232",".267",".317",".584",".260","0.6","-0.2","-0.1","9807"
"Leury Garcia","White Sox","8","35","33","7","1","0","0","3","2","2","9","0","2","1",".224",".263",".304",".567",".253","0.1","0.1","0.0","5913"
